"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
1,1,0,1,0,0,0,1.53,-3
1,0,0,1,0,0,0,0.97,4
1,0,0,1,0,0,0,1.16,6
1,1,0,1,0,0,0,0.65,1
1,1,0,1,0,1,1,1.81,3
1,0,0,0,0,0,1,0.97,-2
1,1,0,1,0,0,0,0.85,4
1,1,0,1,0,0,1,1.09,5
1,0,0,0,0,0,1,-0.45,2
1,0,0,1,0,0,1,1.38,1
1,1,0,1,0,1,1,1.68,2
1,1,0,1,0,0,1,-0.05,-4
1,0,0,1,0,0,1,1.29,0
1,0,0,1,0,0,1,1.29,1
1,0,0,1,0,0,1,1.89,9
1,1,0,1,0,0,1,1.19,4
1,0,0,1,0,0,1,1.28,6
1,1,0,1,0,1,0,1.01,2
1,1,1,1,0,1,0,-0.02,-7
1,0,0,1,0,0,0,1.29,0
1,1,0,1,0,1,0,-0.11,-4
1,0,1,1,1,0,1,-0.39,3
1,0,0,1,0,0,1,-0.58,-4
1,1,0,1,0,0,1,0.34,3
1,0,0,1,0,0,1,0.9,4
1,1,0,1,0,1,1,0.42,1
1,1,0,1,0,0,1,1.82,-3
1,0,0,1,0,0,1,0.69,-3
1,0,1,1,0,1,0,0.56,-3
1,1,0,1,0,0,1,0.15,-1
1,1,1,1,1,1,1,-0.38,-4
1,0,0,0,0,0,0,-0.27,-5
1,1,0,1,0,0,0,0.71,0
1,1,0,1,0,0,0,0.45,-5
1,1,0,0,0,0,0,0.42,3
1,1,0,1,0,0,1,0.2,-1
1,1,0,1,0,0,1,0.14,3
1,1,1,0,0,0,1,0.61,-1
1,1,0,1,0,0,0,0.26,1
1,1,0,1,0,1,1,0.07,-4
1,1,0,1,0,0,1,-0.62,-4
1,1,0,1,0,0,1,0.76,-4
1,1,0,1,0,0,1,0.06,5
1,0,1,1,0,0,1,0.62,-3
1,1,0,1,0,0,1,0.55,1
1,1,0,1,0,0,1,-0.5,-4
1,1,0,1,0,0,1,1.28,-2
1,0,0,0,1,0,1,-0.27,-3
1,0,0,1,0,0,1,1.18,-4
1,1,0,1,0,0,1,1.22,-7
1,1,0,1,0,0,1,-0.42,2
1,0,0,1,0,1,0,-0.45,4
1,0,0,1,0,1,0,0.73,0
1,1,0,1,0,0,0,1,5
1,1,0,1,0,0,1,0.29,-3
1,0,0,1,0,1,0,2.27,-2
1,0,0,1,0,1,0,2.57,-6
1,1,0,1,0,1,0,0.97,-1
1,0,1,1,0,1,0,1.77,-3
1,0,0,1,0,1,0,1.81,0
1,1,0,0,0,1,0,0.73,-1
1,1,1,1,0,1,0,1.85,3
1,1,0,1,0,0,1,1.29,2
1,0,0,1,0,0,1,0.27,10
1,1,0,1,0,0,0,-0.24,2
1,1,1,0,0,0,1,-0.91,2
1,1,0,1,0,0,1,1.22,2
